ID,Provinsi,KodeKabKot,Y,X1,X2,X3,X4,X5,X6,Z1,Z2,Z3,Z4
64,11,1102,0,0,25,1,1,1,1,0.79,9.485,34.78,271.125
65,11,1102,0,0,26,1,1,1,1,0.79,9.485,34.78,271.125
66,11,1102,0,1,28,1,1,1,1,0.79,9.485,34.78,271.125
67,11,1102,0,1,30,1,0,1,1,0.79,9.485,34.78,271.125
68,11,1102,0,1,29,0,0,0,1,0.79,9.485,34.78,271.125
69,11,1102,0,1,39,0,1,0,1,0.79,9.485,34.78,271.125
70,11,1102,0,0,25,1,0,1,0,0.79,9.485,34.78,271.125
71,11,1102,0,1,28,1,0,1,1,0.79,9.485,34.78,271.125
73,11,1102,0,1,29,0,0,0,1,0.79,9.485,34.78,271.125
75,11,1102,0,1,20,0,0,1,1,0.79,9.485,34.78,271.125
77,11,1102,0,1,23,1,0,1,0,0.79,9.485,34.78,271.125
80,11,1103,0,1,26,1,1,1,1,0.43,12.908,34.422,299.471
81,11,1103,0,1,32,1,1,0,1,0.43,12.908,34.422,299.471
82,11,1103,0,1,29,1,0,1,1,0.43,12.908,34.422,299.471
84,11,1103,0,1,32,1,0,1,1,0.43,12.908,34.422,299.471
86,11,1103,0,1,27,1,0,1,0,0.43,12.908,34.422,299.471
88,11,1103,1,1,29,1,1,1,1,0.43,12.908,34.422,299.471
90,11,1103,0,1,29,1,0,1,1,0.43,12.908,34.422,299.471
91,11,1103,0,1,31,0,0,1,1,0.43,12.908,34.422,299.471
92,11,1103,0,1,39,1,0,1,1,0.43,12.908,34.422,299.471
93,11,1103,0,1,25,0,0,1,1,0.43,12.908,34.422,299.471
94,11,1103,0,0,40,0,1,1,1,0.43,12.908,34.422,299.471
95,11,1103,0,0,27,1,0,1,1,0.43,12.908,34.422,299.471
97,11,1103,0,1,39,0,0,1,0,0.43,12.908,34.422,299.471
99,11,1103,0,1,26,0,0,1,1,0.43,12.908,34.422,299.471
100,11,1103,0,1,33,1,1,1,1,0.43,12.908,34.422,299.471
101,11,1103,0,1,34,0,1,1,1,0.43,12.908,34.422,299.471
104,11,1103,0,1,40,1,0,1,1,0.43,12.908,34.422,299.471
106,11,1103,0,1,31,0,0,1,1,0.43,12.908,34.422,299.471
107,11,1103,0,1,35,0,1,1,1,0.43,12.908,34.422,299.471
108,11,1103,1,1,37,0,1,1,1,0.43,12.908,34.422,299.471
109,11,1103,1,1,34,0,1,1,1,0.43,12.908,34.422,299.471
110,11,1103,0,1,38,0,0,1,1,0.43,12.908,34.422,299.471
111,11,1103,0,1,37,0,0,1,1,0.43,12.908,34.422,299.471
112,11,1103,0,1,19,0,1,0,1,0.43,12.908,34.422,299.471
113,11,1103,0,1,30,1,0,1,1,0.43,12.908,34.422,299.471
114,11,1103,1,1,35,0,0,1,1,0.43,12.908,34.422,299.471
115,11,1103,1,1,22,1,0,1,1,0.43,12.908,34.422,299.471
116,11,1103,0,1,36,1,0,1,1,0.43,12.908,34.422,299.471
117,11,1103,0,1,42,1,1,1,1,0.43,12.908,34.422,299.471
118,11,1103,0,1,30,1,0,1,1,0.43,12.908,34.422,299.471
119,11,1103,1,1,33,0,1,1,1,0.43,12.908,34.422,299.471
120,11,1103,0,1,30,1,0,1,1,0.43,12.908,34.422,299.471
121,11,1103,0,1,34,0,0,1,1,0.43,12.908,34.422,299.471
122,11,1103,0,1,27,1,0,1,1,0.43,12.908,34.422,299.471
123,11,1103,1,0,33,1,0,1,1,0.43,12.908,34.422,299.471
125,11,1104,0,1,29,1,1,1,1,1.358,10.414,32.6,225.482
126,11,1104,0,0,24,0,0,1,1,1.358,10.414,32.6,225.482
127,11,1104,0,1,25,1,0,1,1,1.358,10.414,32.6,225.482
128,11,1104,1,1,30,1,1,1,1,1.358,10.414,32.6,225.482
129,11,1104,0,1,38,1,1,0,1,1.358,10.414,32.6,225.482
130,11,1104,0,1,39,0,1,0,1,1.358,10.414,32.6,225.482
131,11,1104,0,1,30,0,1,1,1,1.358,10.414,32.6,225.482
133,11,1104,0,1,20,1,0,1,1,1.358,10.414,32.6,225.482
134,11,1104,0,1,19,1,1,1,1,1.358,10.414,32.6,225.482
135,11,1104,0,1,25,0,1,1,1,1.358,10.414,32.6,225.482
137,11,1104,0,1,19,1,0,1,1,1.358,10.414,32.6,225.482
140,11,1104,0,1,24,0,1,0,1,1.358,10.414,32.6,225.482
141,11,1104,0,1,35,0,1,0,1,1.358,10.414,32.6,225.482
142,11,1104,0,1,30,1,0,1,1,1.358,10.414,32.6,225.482
143,11,1104,0,1,40,0,0,1,1,1.358,10.414,32.6,225.482
144,11,1104,0,1,35,1,1,1,1,1.358,10.414,32.6,225.482
145,11,1104,0,1,26,1,1,0,1,1.358,10.414,32.6,225.482
146,11,1104,0,1,26,0,0,0,1,1.358,10.414,32.6,225.482
148,11,1104,0,1,35,0,1,0,1,1.358,10.414,32.6,225.482
149,11,1104,0,1,33,1,0,1,1,1.358,10.414,32.6,225.482
150,11,1104,0,1,21,0,0,0,1,1.358,10.414,32.6,225.482
152,11,1104,0,1,36,1,1,1,1,1.358,10.414,32.6,225.482
153,11,1104,0,1,28,1,1,1,1,1.358,10.414,32.6,225.482
155,11,1104,0,0,22,0,0,1,1,1.358,10.414,32.6,225.482
157,11,1104,0,1,27,0,0,0,0,1.358,10.414,32.6,225.482
160,11,1104,0,1,35,0,0,0,1,1.358,10.414,32.6,225.482
161,11,1105,0,1,29,0,0,1,1,0.71,7.576,21.307,230.824
163,11,1105,0,1,32,1,0,1,1,0.71,7.576,21.307,230.824
164,11,1105,0,0,30,0,1,1,0,0.71,7.576,21.307,230.824
165,11,1105,0,1,22,1,0,0,1,0.71,7.576,21.307,230.824
166,11,1105,0,1,37,0,0,1,1,0.71,7.576,21.307,230.824
167,11,1105,0,0,24,0,0,0,1,0.71,7.576,21.307,230.824
169,11,1105,0,1,26,1,1,0,1,0.71,7.576,21.307,230.824
170,11,1105,0,1,33,1,0,0,1,0.71,7.576,21.307,230.824
171,11,1105,0,1,19,0,0,1,1,0.71,7.576,21.307,230.824
172,11,1105,0,1,40,0,0,1,0,0.71,7.576,21.307,230.824
174,11,1105,0,1,36,0,0,1,1,0.71,7.576,21.307,230.824
176,11,1105,0,1,20,0,1,1,1,0.71,7.576,21.307,230.824
178,11,1105,0,1,38,1,0,1,1,0.71,7.576,21.307,230.824
179,11,1105,0,1,32,1,1,1,1,0.71,7.576,21.307,230.824
180,11,1105,0,1,29,0,1,1,1,0.71,7.576,21.307,230.824
181,11,1105,0,1,34,1,1,1,1,0.71,7.576,21.307,230.824
185,11,1105,1,1,41,0,1,1,1,0.71,7.576,21.307,230.824
186,11,1105,0,1,36,0,1,1,1,0.71,7.576,21.307,230.824
187,11,1105,0,1,30,0,0,1,1,0.71,7.576,21.307,230.824
188,11,1105,0,1,24,1,1,1,1,0.71,7.576,21.307,230.824
190,11,1105,0,1,32,1,1,1,1,0.71,7.576,21.307,230.824
192,11,1105,0,1,26,0,0,1,1,0.71,7.576,21.307,230.824
193,11,1105,0,1,32,1,1,1,1,0.71,7.576,21.307,230.824
195,11,1105,0,1,29,1,0,1,0,0.71,7.576,21.307,230.824
198,11,1105,0,1,18,0,0,1,1,0.71,7.576,21.307,230.824
200,11,1105,0,1,31,0,0,1,1,0.71,7.576,21.307,230.824
202,11,1105,0,0,43,1,0,1,1,0.71,7.576,21.307,230.824
203,11,1105,0,0,20,0,0,1,1,0.71,7.576,21.307,230.824
204,11,1105,0,1,20,0,0,1,1,0.71,7.576,21.307,230.824
205,11,1105,0,1,39,1,1,1,1,0.71,7.576,21.307,230.824
206,11,1105,0,1,27,0,0,1,1,0.71,7.576,21.307,230.824
207,11,1105,0,1,26,0,1,0,0,0.71,7.576,21.307,230.824
208,11,1105,1,1,37,0,1,1,1,0.71,7.576,21.307,230.824
209,11,1105,0,0,22,1,0,0,1,0.71,7.576,21.307,230.824
210,11,1106,0,1,31,1,0,0,0,0.928,8.813,38.501,287.132
211,11,1106,1,1,29,0,0,1,1,0.928,8.813,38.501,287.132
213,11,1106,1,1,32,1,0,1,1,0.928,8.813,38.501,287.132
214,11,1106,0,0,36,1,1,1,1,0.928,8.813,38.501,287.132
218,11,1106,0,1,34,1,1,1,1,0.928,8.813,38.501,287.132
219,11,1106,1,0,28,1,0,1,1,0.928,8.813,38.501,287.132
220,11,1106,0,0,25,1,1,1,1,0.928,8.813,38.501,287.132
221,11,1106,0,1,38,0,1,1,1,0.928,8.813,38.501,287.132
223,11,1106,0,1,31,1,1,1,1,0.928,8.813,38.501,287.132
226,11,1106,0,0,32,1,1,1,1,0.928,8.813,38.501,287.132
227,11,1106,1,1,30,1,1,1,0,0.928,8.813,38.501,287.132
233,11,1106,0,1,23,1,0,1,1,0.928,8.813,38.501,287.132
234,11,1106,0,0,37,0,1,1,1,0.928,8.813,38.501,287.132
236,11,1106,1,1,29,0,0,1,1,0.928,8.813,38.501,287.132
237,11,1106,0,1,21,1,0,1,1,0.928,8.813,38.501,287.132
239,11,1106,1,1,32,0,0,1,1,0.928,8.813,38.501,287.132
240,11,1106,1,0,21,0,0,1,1,0.928,8.813,38.501,287.132
241,11,1106,0,0,34,0,1,1,1,0.928,8.813,38.501,287.132
244,11,1106,0,1,21,1,1,0,1,0.928,8.813,38.501,287.132
245,11,1106,0,1,33,0,1,0,1,0.928,8.813,38.501,287.132
246,11,1106,0,0,26,0,1,0,1,0.928,8.813,38.501,287.132
248,11,1106,1,1,40,1,1,1,1,0.928,8.813,38.501,287.132
253,11,1107,0,0,30,1,0,1,1,2.013,7.044,35.725,214.35
254,11,1107,0,0,41,0,1,1,1,2.013,7.044,35.725,214.35
255,11,1107,0,0,27,0,0,1,1,2.013,7.044,35.725,214.35
256,11,1107,0,0,33,1,0,1,1,2.013,7.044,35.725,214.35
257,11,1107,1,1,27,1,1,1,1,2.013,7.044,35.725,214.35
258,11,1107,0,0,41,1,1,1,1,2.013,7.044,35.725,214.35
259,11,1107,1,0,37,1,0,1,1,2.013,7.044,35.725,214.35
260,11,1107,1,0,36,1,1,1,1,2.013,7.044,35.725,214.35
261,11,1107,0,0,36,1,1,1,1,2.013,7.044,35.725,214.35
262,11,1107,0,1,24,1,0,1,1,2.013,7.044,35.725,214.35
263,11,1107,0,1,34,1,0,1,1,2.013,7.044,35.725,214.35
264,11,1107,0,1,34,1,0,1,0,2.013,7.044,35.725,214.35
265,11,1107,1,1,27,1,0,1,1,2.013,7.044,35.725,214.35
266,11,1107,0,1,33,1,0,1,1,2.013,7.044,35.725,214.35
268,11,1107,0,1,22,0,0,1,1,2.013,7.044,35.725,214.35
270,11,1107,0,1,27,1,0,1,1,2.013,7.044,35.725,214.35
271,11,1107,0,1,20,0,0,1,1,2.013,7.044,35.725,214.35
272,11,1107,1,1,36,1,0,1,1,2.013,7.044,35.725,214.35
273,11,1107,0,1,31,1,0,1,1,2.013,7.044,35.725,214.35
274,11,1107,0,1,28,1,1,1,1,2.013,7.044,35.725,214.35
275,11,1107,0,1,32,0,0,1,1,2.013,7.044,35.725,214.35
276,11,1107,0,1,36,0,0,0,1,2.013,7.044,35.725,214.35
277,11,1107,0,1,29,0,1,1,1,2.013,7.044,35.725,214.35
278,11,1107,0,1,37,1,0,1,1,2.013,7.044,35.725,214.35
280,11,1107,1,1,34,0,1,1,1,2.013,7.044,35.725,214.35
284,11,1107,1,1,21,1,0,1,1,2.013,7.044,35.725,214.35
285,11,1107,0,1,24,1,0,1,1,2.013,7.044,35.725,214.35
286,11,1107,0,1,29,1,0,1,1,2.013,7.044,35.725,214.35
287,11,1107,0,1,34,1,1,1,1,2.013,7.044,35.725,214.35
289,11,1108,0,1,27,0,0,1,1,0.493,10.11,30.823,87.538
290,11,1108,0,1,30,0,1,1,1,0.493,10.11,30.823,87.538
292,11,1108,0,1,34,1,0,1,1,0.493,10.11,30.823,87.538
293,11,1108,0,1,27,0,0,1,1,0.493,10.11,30.823,87.538
295,11,1108,0,1,36,1,1,1,1,0.493,10.11,30.823,87.538
296,11,1108,0,1,29,0,1,1,0,0.493,10.11,30.823,87.538
297,11,1108,0,1,39,1,0,1,0,0.493,10.11,30.823,87.538
298,11,1108,0,1,35,0,0,1,0,0.493,10.11,30.823,87.538
299,11,1108,0,0,26,1,0,1,1,0.493,10.11,30.823,87.538
301,11,1108,0,0,38,0,1,1,1,0.493,10.11,30.823,87.538
303,11,1108,0,1,37,1,1,1,1,0.493,10.11,30.823,87.538
304,11,1108,0,1,23,1,0,1,1,0.493,10.11,30.823,87.538
305,11,1108,0,1,33,1,0,1,1,0.493,10.11,30.823,87.538
306,11,1108,1,1,37,0,0,1,1,0.493,10.11,30.823,87.538
308,11,1108,1,1,39,1,0,1,1,0.493,10.11,30.823,87.538
309,11,1108,0,1,30,1,0,1,1,0.493,10.11,30.823,87.538
310,11,1108,0,1,32,1,0,1,1,0.493,10.11,30.823,87.538
311,11,1108,0,0,36,0,0,1,1,0.493,10.11,30.823,87.538
312,11,1108,0,0,31,1,0,1,1,0.493,10.11,30.823,87.538
314,11,1108,0,1,23,0,1,1,0,0.493,10.11,30.823,87.538
315,11,1108,1,1,38,1,0,1,0,0.493,10.11,30.823,87.538
317,11,1108,0,1,29,1,1,1,1,0.493,10.11,30.823,87.538
318,11,1109,0,1,23,1,0,1,1,1.149,7.122,33.082,383.661
319,11,1109,0,0,27,1,0,1,1,1.149,7.122,33.082,383.661
320,11,1109,0,1,31,1,1,1,1,1.149,7.122,33.082,383.661
323,11,1109,0,0,34,0,0,1,1,1.149,7.122,33.082,383.661
326,11,1109,0,1,35,1,0,1,1,1.149,7.122,33.082,383.661
328,11,1109,0,0,24,1,1,1,1,1.149,7.122,33.082,383.661
329,11,1109,0,1,23,1,1,1,1,1.149,7.122,33.082,383.661
330,11,1109,0,1,23,0,0,1,1,1.149,7.122,33.082,383.661
331,11,1109,0,1,28,1,0,1,1,1.149,7.122,33.082,383.661
332,11,1109,0,1,29,0,1,1,1,1.149,7.122,33.082,383.661
335,11,1109,1,1,29,1,0,1,1,1.149,7.122,33.082,383.661
336,11,1109,0,1,32,0,0,1,1,1.149,7.122,33.082,383.661
343,11,1109,0,1,35,1,1,1,1,1.149,7.122,33.082,383.661
344,11,1109,0,0,40,1,0,1,1,1.149,7.122,33.082,383.661
346,11,1109,0,1,30,1,0,1,1,1.149,7.122,33.082,383.661
347,11,1109,0,1,40,0,0,1,1,1.149,7.122,33.082,383.661
351,11,1110,0,0,28,1,1,1,1,1.375,5.27,32.079,299.94
352,11,1110,0,0,34,1,0,1,1,1.375,5.27,32.079,299.94
353,11,1110,0,1,42,0,0,1,1,1.375,5.27,32.079,299.94
356,11,1110,0,1,25,0,1,1,0,1.375,5.27,32.079,299.94
358,11,1110,0,1,31,1,1,1,1,1.375,5.27,32.079,299.94
361,11,1110,0,0,37,1,1,1,1,1.375,5.27,32.079,299.94
362,11,1110,0,0,26,1,0,1,1,1.375,5.27,32.079,299.94
363,11,1110,1,1,21,1,0,1,1,1.375,5.27,32.079,299.94
365,11,1110,0,1,42,0,0,1,1,1.375,5.27,32.079,299.94
366,11,1110,0,0,42,0,0,1,1,1.375,5.27,32.079,299.94
368,11,1110,0,1,20,0,0,1,1,1.375,5.27,32.079,299.94
370,11,1110,0,1,36,1,1,1,1,1.375,5.27,32.079,299.94
371,11,1110,0,1,26,1,0,1,1,1.375,5.27,32.079,299.94
372,11,1110,0,1,26,1,0,1,1,1.375,5.27,32.079,299.94
373,11,1110,0,1,37,1,0,1,1,1.375,5.27,32.079,299.94
374,11,1110,0,1,30,1,1,1,1,1.375,5.27,32.079,299.94
375,11,1110,0,1,39,1,0,1,1,1.375,5.27,32.079,299.94
376,11,1110,0,1,27,1,0,1,1,1.375,5.27,32.079,299.94
377,11,1110,0,0,37,0,1,1,0,1.375,5.27,32.079,299.94
378,11,1110,0,0,37,0,1,1,0,1.375,5.27,32.079,299.94
379,11,1110,0,1,30,1,1,1,1,1.375,5.27,32.079,299.94
380,11,1110,0,1,30,1,1,1,1,1.375,5.27,32.079,299.94
381,11,1110,0,1,37,0,0,1,0,1.375,5.27,32.079,299.94
383,11,1110,0,0,33,1,1,1,0,1.375,5.27,32.079,299.94
384,11,1110,0,1,32,1,1,1,0,1.375,5.27,32.079,299.94
385,11,1110,1,1,29,1,0,1,1,1.375,5.27,32.079,299.94
387,11,1110,1,1,20,1,0,1,1,1.375,5.27,32.079,299.94
388,11,1111,0,1,26,0,0,1,1,0.332,6.304,22.23,253.654
389,11,1111,0,1,28,0,0,1,0,0.332,6.304,22.23,253.654
390,11,1111,0,1,28,1,1,1,1,0.332,6.304,22.23,253.654
391,11,1111,0,1,34,0,0,1,1,0.332,6.304,22.23,253.654
394,11,1111,0,0,39,1,0,1,1,0.332,6.304,22.23,253.654
396,11,1111,0,1,39,0,1,1,1,0.332,6.304,22.23,253.654
397,11,1111,0,1,43,0,1,1,1,0.332,6.304,22.23,253.654
398,11,1111,0,1,29,1,0,1,1,0.332,6.304,22.23,253.654
399,11,1111,0,1,37,0,0,1,1,0.332,6.304,22.23,253.654
401,11,1111,0,1,23,1,0,1,1,0.332,6.304,22.23,253.654
403,11,1111,0,1,21,0,0,1,0,0.332,6.304,22.23,253.654
404,11,1111,0,1,34,0,0,1,0,0.332,6.304,22.23,253.654
405,11,1111,0,1,29,0,0,1,1,0.332,6.304,22.23,253.654
406,11,1111,0,1,40,0,0,1,0,0.332,6.304,22.23,253.654
407,11,1111,0,1,33,0,1,1,0,0.332,6.304,22.23,253.654
408,11,1111,0,1,45,0,1,1,1,0.332,6.304,22.23,253.654
412,11,1111,0,1,31,0,1,1,1,0.332,6.304,22.23,253.654
415,11,1111,0,1,26,1,0,1,1,0.332,6.304,22.23,253.654
416,11,1111,0,1,31,0,0,1,1,0.332,6.304,22.23,253.654
417,11,1111,0,1,38,1,0,1,1,0.332,6.304,22.23,253.654
418,11,1111,0,1,32,1,1,1,1,0.332,6.304,22.23,253.654
419,11,1111,0,1,41,0,0,1,1,0.332,6.304,22.23,253.654
420,11,1111,0,1,29,1,1,1,1,0.332,6.304,22.23,253.654
421,11,1111,0,1,28,1,0,1,1,0.332,6.304,22.23,253.654
422,11,1111,1,1,33,0,0,1,1,0.332,6.304,22.23,253.654
423,11,1111,0,1,41,0,0,1,1,0.332,6.304,22.23,253.654
425,11,1111,0,1,34,1,1,1,1,0.332,6.304,22.23,253.654
426,11,1111,0,1,25,1,0,1,1,0.332,6.304,22.23,253.654
428,11,1111,0,1,26,1,0,1,1,0.332,6.304,22.23,253.654
430,11,1111,0,1,28,1,0,1,1,0.332,6.304,22.23,253.654
432,11,1111,0,1,26,0,0,1,1,0.332,6.304,22.23,253.654
437,11,1112,0,1,25,1,0,1,1,0.663,8.622,35.151,229.473
438,11,1112,0,1,27,1,0,1,1,0.663,8.622,35.151,229.473
439,11,1112,0,1,22,1,0,1,1,0.663,8.622,35.151,229.473
440,11,1112,0,1,33,1,0,1,1,0.663,8.622,35.151,229.473
441,11,1112,0,0,32,1,0,1,1,0.663,8.622,35.151,229.473
442,11,1112,1,1,36,0,0,1,1,0.663,8.622,35.151,229.473
443,11,1112,0,1,40,0,0,1,1,0.663,8.622,35.151,229.473
445,11,1112,0,0,32,1,1,1,1,0.663,8.622,35.151,229.473
446,11,1112,0,0,32,0,0,1,1,0.663,8.622,35.151,229.473
447,11,1112,0,1,33,1,1,1,1,0.663,8.622,35.151,229.473
448,11,1112,0,1,25,1,0,1,1,0.663,8.622,35.151,229.473
449,11,1112,0,1,28,1,1,1,1,0.663,8.622,35.151,229.473
450,11,1112,0,1,38,1,1,1,1,0.663,8.622,35.151,229.473
452,11,1112,0,0,38,1,1,1,1,0.663,8.622,35.151,229.473
453,11,1112,0,0,40,1,1,1,1,0.663,8.622,35.151,229.473
454,11,1112,1,1,35,1,0,1,1,0.663,8.622,35.151,229.473
455,11,1112,0,1,42,0,0,1,1,0.663,8.622,35.151,229.473
456,11,1112,1,1,43,0,0,1,1,0.663,8.622,35.151,229.473
458,11,1112,0,1,30,0,0,0,1,0.663,8.622,35.151,229.473
459,11,1112,0,1,20,0,0,1,1,0.663,8.622,35.151,229.473
460,11,1112,1,1,43,0,1,1,1,0.663,8.622,35.151,229.473
461,11,1112,0,1,29,0,0,1,1,0.663,8.622,35.151,229.473
462,11,1112,0,1,29,1,0,1,1,0.663,8.622,35.151,229.473
463,11,1112,1,1,41,1,0,1,1,0.663,8.622,35.151,229.473
464,11,1112,0,1,29,1,0,1,1,0.663,8.622,35.151,229.473
465,11,1112,0,1,28,0,0,1,1,0.663,8.622,35.151,229.473
466,11,1112,0,1,32,1,1,1,1,0.663,8.622,35.151,229.473
468,11,1112,0,1,23,1,0,1,1,0.663,8.622,35.151,229.473
469,11,1112,0,1,31,1,1,1,1,0.663,8.622,35.151,229.473
470,11,1112,0,0,28,1,1,1,1,0.663,8.622,35.151,229.473
471,11,1112,1,1,38,0,0,0,1,0.663,8.622,35.151,229.473
473,11,1113,0,1,28,1,1,1,1,1.005,14.066,36.17,245.152
474,11,1113,0,1,22,0,1,0,1,1.005,14.066,36.17,245.152
475,11,1113,0,0,29,1,1,1,1,1.005,14.066,36.17,245.152
476,11,1113,0,0,35,0,1,1,1,1.005,14.066,36.17,245.152
479,11,1113,0,1,29,0,1,0,1,1.005,14.066,36.17,245.152
480,11,1113,0,1,27,0,0,1,1,1.005,14.066,36.17,245.152
481,11,1113,0,1,22,1,0,1,1,1.005,14.066,36.17,245.152
482,11,1113,0,1,26,1,0,1,1,1.005,14.066,36.17,245.152
484,11,1113,0,1,26,1,0,1,1,1.005,14.066,36.17,245.152
485,11,1113,1,1,25,1,0,1,1,1.005,14.066,36.17,245.152
486,11,1113,0,1,32,0,0,0,1,1.005,14.066,36.17,245.152
488,11,1113,0,1,24,1,0,0,1,1.005,14.066,36.17,245.152
489,11,1113,0,1,23,0,1,0,1,1.005,14.066,36.17,245.152
491,11,1113,0,1,27,0,1,0,1,1.005,14.066,36.17,245.152
493,11,1113,0,1,20,0,1,0,1,1.005,14.066,36.17,245.152
496,11,1113,0,1,19,0,1,1,1,1.005,14.066,36.17,245.152
499,11,1113,0,0,26,1,0,1,1,1.005,14.066,36.17,245.152
500,11,1113,0,0,23,0,1,0,1,1.005,14.066,36.17,245.152
501,11,1113,0,1,26,0,0,0,1,1.005,14.066,36.17,245.152
502,11,1113,0,1,25,0,0,0,1,1.005,14.066,36.17,245.152
503,11,1113,0,1,32,0,1,1,1,1.005,14.066,36.17,245.152
504,11,1113,0,0,20,0,1,0,1,1.005,14.066,36.17,245.152
506,11,1113,0,0,33,1,1,1,1,1.005,14.066,36.17,245.152
507,11,1113,0,1,29,1,0,1,1,1.005,14.066,36.17,245.152
509,11,1114,0,1,22,0,0,1,1,0.679,5.775,24.46,218.1
510,11,1114,0,1,28,1,0,0,1,0.679,5.775,24.46,218.1
513,11,1114,0,1,33,0,0,1,1,0.679,5.775,24.46,218.1
514,11,1114,1,0,30,1,1,1,1,0.679,5.775,24.46,218.1
515,11,1114,0,0,20,1,0,1,1,0.679,5.775,24.46,218.1
516,11,1114,1,1,40,1,0,1,1,0.679,5.775,24.46,218.1
517,11,1114,1,1,33,1,1,1,1,0.679,5.775,24.46,218.1
520,11,1114,0,1,26,0,0,1,1,0.679,5.775,24.46,218.1
521,11,1114,0,1,22,1,0,1,1,0.679,5.775,24.46,218.1
522,11,1114,1,0,23,1,0,1,1,0.679,5.775,24.46,218.1
524,11,1114,0,0,19,0,1,1,1,0.679,5.775,24.46,218.1
525,11,1114,0,1,39,1,1,0,1,0.679,5.775,24.46,218.1
526,11,1114,1,0,31,1,0,1,0,0.679,5.775,24.46,218.1
527,11,1114,1,0,22,1,0,1,1,0.679,5.775,24.46,218.1
529,11,1114,0,1,17,0,0,1,1,0.679,5.775,24.46,218.1
530,11,1114,0,1,22,0,0,1,1,0.679,5.775,24.46,218.1
533,11,1114,0,1,37,0,0,1,1,0.679,5.775,24.46,218.1
535,11,1114,1,1,29,1,0,1,1,0.679,5.775,24.46,218.1
538,11,1114,1,1,28,1,1,1,1,0.679,5.775,24.46,218.1
539,11,1114,0,1,42,0,0,1,1,0.679,5.775,24.46,218.1
540,11,1114,0,1,26,0,0,1,1,0.679,5.775,24.46,218.1
542,11,1114,1,1,34,0,0,1,1,0.679,5.775,24.46,218.1
543,11,1114,1,0,32,1,0,1,1,0.679,5.775,24.46,218.1
544,11,1114,0,1,21,1,0,1,1,0.679,5.775,24.46,218.1
